date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2016-04-10,Scotland,Spain,0,0,AFC Asian Cup,Scotland City,Scotland,False
2016-04-14,Czech Republic,Cameroon,0,1,CONCACAF Gold Cup,Czech Republic City,Czech Republic,False
2016-04-16,Argentina,Tunisia,3,0,CONCACAF Gold Cup,Buenos Aires,Argentina,False
2016-04-17,Wales,Portugal,2,1,UEFA Nations League,Wales City,Wales,False
2016-04-21,Chile,Algeria,0,1,AFC Asian Cup,Chile City,Chile,False
2016-04-23,Brazil,Egypt,0,0,CONCACAF Gold Cup,Rio de Janeiro,Brazil,False
2016-04-24,France,Italy,2,2,UEFA Nations League,Paris,France,False
2016-04-28,Peru,Japan,1,1,Copa America,Peru City,Peru,True
2016-04-30,Uruguay,Nigeria,1,1,Copa America,Doha,Qatar,False
2016-05-01,Germany,Switzerland,2,0,Friendly,Germany City,Germany,False
2016-05-05,Paraguay,South Korea,1,1,UEFA Nations League,Paraguay City,Paraguay,True
2016-05-07,Colombia,Ghana,2,0,FIFA World Cup qualification,Colombia City,Colombia,False
2016-05-08,Netherlands,Morocco,2,0,CONCACAF Gold Cup,Doha,Qatar,False
2016-05-12,Costa Rica,Iran,2,0,AFC Asian Cup,Doha,Qatar,True
2016-05-13,Canada,Saudi Arabia,2,1,CONCACAF Gold Cup,Canada City,Canada,False
2016-05-14,Ecuador,Cameroon,0,0,CONCACAF Gold Cup,Ecuador City,Ecuador,False
2016-05-15,Belgium,Senegal,0,0,Friendly,Belgium City,Belgium,False
2016-05-20,Mexico,Australia,1,0,FIFA World Cup qualification,Mexico City,Mexico,False
2016-05-21,England,Algeria,2,0,African Cup of Nations,London,England,False
2016-05-22,Croatia,Tunisia,3,0,African Cup of Nations,Croatia City,Croatia,False
2016-05-27,United States,Qatar,1,0,African Cup of Nations,Los Angeles,United States,False
2016-05-28,Scotland,Japan,1,1,African Cup of Nations,Scotland City,Scotland,False
2016-05-29,Spain,Egypt,1,0,FIFA World Cup qualification,Spain City,Spain,True
2016-06-03,Argentina,Iraq,3,0,UEFA Nations League,Buenos Aires,Argentina,False
2016-06-04,Wales,South Korea,1,0,UEFA Nations League,Wales City,Wales,False
2016-06-05,Portugal,Nigeria,2,0,AFC Asian Cup,Portugal City,Portugal,False
2016-06-10,Brazil,Uzbekistan,3,0,CONCACAF Gold Cup,Rio de Janeiro,Brazil,False
2016-06-11,France,Iran,0,0,Friendly,Paris,France,False
2016-06-12,Italy,Ghana,0,0,African Cup of Nations,Italy City,Italy,True
2016-06-17,Uruguay,Denmark,2,0,Copa America,Uruguay City,Uruguay,False
2016-06-18,Germany,Saudi Arabia,1,0,UEFA Nations League,Germany City,Germany,False
2016-06-19,Switzerland,Cameroon,1,0,FIFA World Cup qualification,Switzerland City,Switzerland,False
2016-06-24,Colombia,Sweden,1,0,FIFA World Cup qualification,Colombia City,Colombia,True
2016-06-25,Netherlands,Australia,1,1,AFC Asian Cup,Netherlands City,Netherlands,False
2016-06-26,Morocco,Algeria,2,0,AFC Asian Cup,Morocco City,Morocco,False
2016-07-01,Ecuador,Norway,0,0,Friendly,Doha,Qatar,False
2016-07-02,Belgium,Qatar,2,0,Copa America,Belgium City,Belgium,False
2016-07-03,Senegal,Japan,3,2,CONCACAF Gold Cup,Doha,Qatar,True
2016-07-08,England,Poland,1,0,Friendly,London,England,False
2016-07-09,Croatia,Iraq,3,0,Friendly,Doha,Qatar,False
2016-07-10,Tunisia,South Korea,0,0,FIFA World Cup qualification,Tunisia City,Tunisia,True
2016-07-15,Scotland,Austria,1,0,AFC Asian Cup,Scotland City,Scotland,False
2016-07-16,Spain,Uzbekistan,4,0,CONCACAF Gold Cup,Spain City,Spain,True
2016-07-17,Egypt,Iran,1,2,African Cup of Nations,Egypt City,Egypt,False
2016-07-22,Wales,Serbia,0,2,UEFA Nations League,Wales City,Wales,False
2016-07-23,Portugal,Denmark,1,0,Friendly,Portugal City,Portugal,False
2016-07-24,Nigeria,Saudi Arabia,0,1,UEFA Nations League,Nigeria City,Nigeria,False
2016-07-29,France,Turkey,1,1,UEFA Nations League,Paris,France,True
2016-07-30,Italy,Sweden,0,0,AFC Asian Cup,Italy City,Italy,True
2016-07-31,Ghana,Australia,0,0,African Cup of Nations,Ghana City,Ghana,False
2016-08-05,Germany,Czech Republic,3,0,African Cup of Nations,Germany City,Germany,False
2016-08-06,Switzerland,Norway,1,0,UEFA Nations League,Switzerland City,Switzerland,False
2016-08-07,Cameroon,Qatar,1,0,AFC Asian Cup,Cameroon City,Cameroon,False
2016-08-12,Netherlands,Chile,3,0,FIFA World Cup qualification,Netherlands City,Netherlands,False
2016-08-13,Morocco,Poland,0,1,Copa America,Morocco City,Morocco,False
2016-08-14,Algeria,Iraq,1,1,UEFA Nations League,Algeria City,Algeria,False
2016-08-19,Belgium,Peru,1,1,AFC Asian Cup,Belgium City,Belgium,True
2016-08-20,Senegal,Austria,0,0,African Cup of Nations,Senegal City,Senegal,True
2016-08-21,Japan,Uzbekistan,2,0,UEFA Nations League,Japan City,Japan,False
2016-08-26,Croatia,Paraguay,2,1,African Cup of Nations,Croatia City,Croatia,True
2016-08-27,Tunisia,Serbia,0,1,CONCACAF Gold Cup,Doha,Qatar,False
2016-08-28,South Korea,Denmark,1,0,AFC Asian Cup,South Korea City,South Korea,True
2016-09-02,Spain,Costa Rica,2,1,Friendly,Spain City,Spain,False
2016-09-03,Egypt,Turkey,0,1,Friendly,Egypt City,Egypt,False
2016-09-04,Iran,Sweden,2,0,AFC Asian Cup,Doha,Qatar,True
2016-09-09,Portugal,Canada,1,0,UEFA Nations League,Doha,Qatar,False
2016-09-10,Nigeria,Czech Republic,1,1,Friendly,Nigeria City,Nigeria,True
2016-09-11,Saudi Arabia,Norway,3,1,AFC Asian Cup,Saudi Arabia City,Saudi Arabia,False
2016-09-16,Italy,Mexico,1,0,African Cup of Nations,Italy City,Italy,False
2016-09-17,Ghana,Chile,1,1,Copa America,Ghana City,Ghana,True
2016-09-18,Australia,Poland,0,0,CONCACAF Gold Cup,Australia City,Australia,False
2016-09-23,Switzerland,United States,3,0,Copa America,Doha,Qatar,False
2016-09-24,Cameroon,Peru,0,2,FIFA World Cup qualification,Cameroon City,Cameroon,True
2016-09-25,Qatar,Austria,1,1,African Cup of Nations,Qatar City,Qatar,True
2016-09-30,Morocco,Argentina,0,1,UEFA Nations League,Doha,Qatar,False
2016-10-01,Algeria,Paraguay,1,1,Copa America,Algeria City,Algeria,False
2016-10-02,Iraq,Serbia,0,2,CONCACAF Gold Cup,Iraq City,Iraq,False
2016-10-07,Senegal,Brazil,1,1,AFC Asian Cup,Senegal City,Senegal,True
2016-10-08,Japan,Costa Rica,1,0,Friendly,Japan City,Japan,False
2016-10-09,Uzbekistan,Turkey,1,1,Copa America,Uzbekistan City,Uzbekistan,True
2016-10-14,Tunisia,Uruguay,0,2,CONCACAF Gold Cup,Tunisia City,Tunisia,True
2016-10-15,South Korea,Canada,0,0,African Cup of Nations,South Korea City,South Korea,False
2016-10-16,Denmark,Czech Republic,1,0,African Cup of Nations,Denmark City,Denmark,True
2016-10-21,Egypt,Colombia,0,2,African Cup of Nations,Egypt City,Egypt,False
2016-10-22,Iran,Mexico,2,1,African Cup of Nations,Iran City,Iran,False
2016-10-23,Sweden,Chile,2,1,African Cup of Nations,Sweden City,Sweden,False
2016-10-28,Nigeria,Ecuador,1,1,CONCACAF Gold Cup,Nigeria City,Nigeria,False
2016-10-29,Saudi Arabia,United States,1,1,Friendly,Saudi Arabia City,Saudi Arabia,False
2016-10-30,Norway,Peru,1,0,Copa America,Doha,Qatar,True
2016-11-04,Ghana,England,0,2,AFC Asian Cup,Ghana City,Ghana,True
2016-11-05,Australia,Argentina,1,1,Copa America,Australia City,Australia,False
2016-11-06,Poland,Paraguay,1,0,Copa America,Poland City,Poland,False
2016-11-11,Cameroon,Scotland,1,0,Friendly,Cameroon City,Cameroon,False
2016-11-12,Qatar,Brazil,0,0,UEFA Nations League,Doha,Qatar,True
2016-11-13,Austria,Costa Rica,2,0,AFC Asian Cup,Austria City,Austria,False
2016-11-18,Algeria,Wales,1,0,Friendly,Algeria City,Algeria,False
2016-11-19,Iraq,Uruguay,0,2,CONCACAF Gold Cup,Iraq City,Iraq,False
2016-11-20,Serbia,Canada,2,0,CONCACAF Gold Cup,Serbia City,Serbia,False
2016-11-25,Japan,France,0,0,UEFA Nations League,Japan City,Japan,False
2016-11-26,Uzbekistan,Colombia,0,1,CONCACAF Gold Cup,Uzbekistan City,Uzbekistan,False
2016-11-27,Turkey,Mexico,0,1,CONCACAF Gold Cup,Turkey City,Turkey,False
2016-12-02,South Korea,Germany,1,1,CONCACAF Gold Cup,South Korea City,South Korea,False
2016-12-03,Denmark,Ecuador,1,1,CONCACAF Gold Cup,Denmark City,Denmark,False
2016-12-04,Czech Republic,United States,0,0,CONCACAF Gold Cup,Czech Republic City,Czech Republic,False
2017-01-14,Iran,Belgium,2,1,Friendly,Iran City,Iran,True
2017-01-15,Sweden,Scotland,0,0,UEFA Nations League,Sweden City,Sweden,True
2017-01-16,Chile,Brazil,0,1,CONCACAF Gold Cup,Chile City,Chile,False
2017-01-21,Saudi Arabia,Croatia,0,0,CONCACAF Gold Cup,Doha,Qatar,False
2017-01-22,Norway,Wales,2,2,UEFA Nations League,Norway City,Norway,False
2017-01-23,Peru,Uruguay,0,3,AFC Asian Cup,Peru City,Peru,False
2017-01-28,Australia,Spain,2,3,AFC Asian Cup,Australia City,Australia,False
2017-01-29,Poland,France,1,2,FIFA World Cup qualification,Doha,Qatar,False
2017-01-30,Paraguay,Colombia,0,1,FIFA World Cup qualification,Paraguay City,Paraguay,False
2017-02-04,Qatar,Portugal,2,1,CONCACAF Gold Cup,Qatar City,Qatar,True
2017-02-05,Austria,Germany,0,2,FIFA World Cup qualification,Austria City,Austria,False
2017-02-06,Costa Rica,Ecuador,1,0,CONCACAF Gold Cup,Costa Rica City,Costa Rica,False
2017-02-07,Canada,England,0,3,African Cup of Nations,Canada City,Canada,False
2017-02-11,Iraq,Italy,0,1,Friendly,Iraq City,Iraq,False
2017-02-12,Serbia,Netherlands,0,2,AFC Asian Cup,Doha,Qatar,False
2017-02-14,Mexico,Scotland,3,0,Copa America,Mexico City,Mexico,False
2017-02-18,Uzbekistan,Switzerland,0,0,Friendly,Doha,Qatar,True
2017-02-19,Turkey,Belgium,1,1,Friendly,Doha,Qatar,False
2017-02-21,United States,Wales,1,0,Copa America,Los Angeles,United States,False
2017-02-25,Denmark,Morocco,1,0,AFC Asian Cup,Doha,Qatar,False
2017-02-26,Czech Republic,Croatia,1,1,Friendly,Czech Republic City,Czech Republic,False
2017-02-28,Argentina,France,1,0,Friendly,Buenos Aires,Argentina,False
2017-03-04,Sweden,Senegal,1,1,UEFA Nations League,Doha,Qatar,True
2017-03-05,Chile,Spain,1,0,CONCACAF Gold Cup,Chile City,Chile,False
2017-03-07,Brazil,Germany,1,1,Friendly,Rio de Janeiro,Brazil,False
2017-03-11,Norway,Tunisia,1,2,Copa America,Norway City,Norway,False
2017-03-12,Peru,Portugal,1,2,FIFA World Cup qualification,Peru City,Peru,False
2017-03-14,Uruguay,Netherlands,1,1,UEFA Nations League,Uruguay City,Uruguay,True
2017-03-18,Poland,Egypt,2,0,African Cup of Nations,Doha,Qatar,False
2017-03-19,Paraguay,Italy,0,1,AFC Asian Cup,Paraguay City,Paraguay,False
2017-03-21,Colombia,Belgium,1,0,African Cup of Nations,Colombia City,Colombia,False
2017-03-25,Austria,Nigeria,1,0,FIFA World Cup qualification,Austria City,Austria,False
2017-03-26,Costa Rica,Switzerland,1,2,Friendly,Costa Rica City,Costa Rica,False
2017-03-27,Canada,Morocco,0,2,African Cup of Nations,Canada City,Canada,False
2017-03-28,Ecuador,Croatia,0,2,CONCACAF Gold Cup,Ecuador City,Ecuador,True
2017-04-01,Serbia,Ghana,1,0,FIFA World Cup qualification,Serbia City,Serbia,False
2017-04-03,Mexico,Senegal,0,0,AFC Asian Cup,Mexico City,Mexico,False
2017-04-04,England,Spain,1,0,FIFA World Cup qualification,London,England,False
2017-04-08,Turkey,Cameroon,3,0,African Cup of Nations,Turkey City,Turkey,False
2017-04-10,United States,Tunisia,0,0,UEFA Nations League,Los Angeles,United States,False
2017-04-11,Scotland,Portugal,0,0,CONCACAF Gold Cup,Scotland City,Scotland,False
2017-04-15,Czech Republic,Algeria,0,2,AFC Asian Cup,Czech Republic City,Czech Republic,False
2017-04-17,Argentina,Egypt,1,1,Copa America,Buenos Aires,Argentina,True
2017-04-18,Wales,Italy,1,2,AFC Asian Cup,Wales City,Wales,True
2017-04-22,Chile,Japan,1,0,AFC Asian Cup,Chile City,Chile,False
2017-04-24,Brazil,Nigeria,0,0,Friendly,Rio de Janeiro,Brazil,False
2017-04-25,France,Switzerland,1,2,Copa America,Paris,France,False
2017-04-29,Peru,South Korea,1,0,FIFA World Cup qualification,Doha,Qatar,False
2017-05-01,Uruguay,Ghana,2,1,CONCACAF Gold Cup,Uruguay City,Uruguay,False
2017-05-02,Germany,Morocco,1,0,AFC Asian Cup,Doha,Qatar,False
2017-05-06,Paraguay,Iran,0,1,CONCACAF Gold Cup,Paraguay City,Paraguay,False
2017-05-08,Colombia,Cameroon,1,0,African Cup of Nations,Doha,Qatar,False
2017-05-09,Netherlands,Senegal,3,1,FIFA World Cup qualification,Netherlands City,Netherlands,False
2017-05-13,Costa Rica,Saudi Arabia,1,2,FIFA World Cup qualification,Costa Rica City,Costa Rica,False
2017-05-14,Canada,Australia,0,0,Friendly,Canada City,Canada,False
2017-05-15,Ecuador,Algeria,1,1,African Cup of Nations,Ecuador City,Ecuador,False
2017-05-16,Belgium,Tunisia,3,1,African Cup of Nations,Belgium City,Belgium,False
2017-05-21,Mexico,Qatar,2,1,CONCACAF Gold Cup,Mexico City,Mexico,False
2017-05-22,England,Japan,3,0,UEFA Nations League,London,England,False
2017-05-23,Croatia,Egypt,0,0,AFC Asian Cup,Croatia City,Croatia,True
2017-05-28,United States,Iraq,2,0,AFC Asian Cup,Los Angeles,United States,True
2017-05-29,Scotland,South Korea,2,1,Friendly,Scotland City,Scotland,False
2017-05-30,Spain,Nigeria,1,0,Friendly,Spain City,Spain,False
2017-06-04,Argentina,Uzbekistan,3,1,AFC Asian Cup,Buenos Aires,Argentina,False
2017-06-05,Wales,Iran,0,2,CONCACAF Gold Cup,Wales City,Wales,True
2017-06-06,Portugal,Ghana,1,2,AFC Asian Cup,Doha,Qatar,False
2017-06-11,Brazil,Denmark,1,2,AFC Asian Cup,Rio de Janeiro,Brazil,True
2017-06-12,France,Saudi Arabia,2,0,FIFA World Cup qualification,Paris,France,False
2017-06-13,Italy,Cameroon,2,1,Copa America,Italy City,Italy,True
2017-06-18,Uruguay,Sweden,2,1,AFC Asian Cup,Uruguay City,Uruguay,False
2017-06-19,Germany,Australia,2,1,Friendly,Germany City,Germany,False
2017-06-20,Switzerland,Algeria,1,0,Friendly,Switzerland City,Switzerland,False
2017-06-25,Colombia,Norway,1,0,AFC Asian Cup,Colombia City,Colombia,False
2017-06-26,Netherlands,Qatar,2,0,UEFA Nations League,Netherlands City,Netherlands,True
2017-06-27,Morocco,Japan,0,1,Copa America,Morocco City,Morocco,False
2017-07-02,Ecuador,Poland,1,0,AFC Asian Cup,Ecuador City,Ecuador,False
2017-07-03,Belgium,Iraq,1,0,AFC Asian Cup,Belgium City,Belgium,False
2017-07-04,Senegal,South Korea,2,0,FIFA World Cup qualification,Senegal City,Senegal,False
2017-07-09,England,Austria,1,0,UEFA Nations League,London,England,False
2017-07-10,Croatia,Uzbekistan,2,0,FIFA World Cup qualification,Croatia City,Croatia,False
2017-07-11,Tunisia,Iran,0,0,AFC Asian Cup,Tunisia City,Tunisia,True
2017-07-16,Scotland,Serbia,2,1,FIFA World Cup qualification,Scotland City,Scotland,False
2017-07-17,Spain,Denmark,2,0,UEFA Nations League,Doha,Qatar,False
2017-07-18,Egypt,Saudi Arabia,1,2,African Cup of Nations,Doha,Qatar,True
2017-07-23,Wales,Turkey,2,1,FIFA World Cup qualification,Wales City,Wales,True
2017-07-24,Portugal,Sweden,0,0,UEFA Nations League,Doha,Qatar,False
2017-07-25,Nigeria,Australia,0,0,CONCACAF Gold Cup,Nigeria City,Nigeria,True
2017-07-30,France,Czech Republic,2,0,UEFA Nations League,Paris,France,True
2017-07-31,Italy,Norway,4,0,AFC Asian Cup,Italy City,Italy,False
2017-08-01,Ghana,Qatar,1,0,FIFA World Cup qualification,Doha,Qatar,False
2017-08-06,Germany,Chile,3,0,Copa America,Germany City,Germany,True
2017-08-07,Switzerland,Poland,2,1,UEFA Nations League,Switzerland City,Switzerland,False
2017-08-08,Cameroon,Iraq,1,0,CONCACAF Gold Cup,Cameroon City,Cameroon,False
2017-08-13,Netherlands,Peru,2,0,African Cup of Nations,Doha,Qatar,True
2017-08-14,Morocco,Austria,0,0,Friendly,Doha,Qatar,False
2017-08-15,Algeria,Uzbekistan,1,0,African Cup of Nations,Algeria City,Algeria,False
2017-08-20,Belgium,Paraguay,1,1,Friendly,Belgium City,Belgium,True
2017-08-21,Senegal,Serbia,3,0,Friendly,Senegal City,Senegal,True
2017-08-22,Japan,Denmark,0,2,Copa America,Japan City,Japan,False
2017-08-27,Croatia,Costa Rica,1,0,AFC Asian Cup,Croatia City,Croatia,False
2017-08-28,Tunisia,Turkey,0,2,Friendly,Tunisia City,Tunisia,False
2017-08-29,South Korea,Sweden,4,0,FIFA World Cup qualification,South Korea City,South Korea,True
2017-09-03,Spain,Canada,3,0,FIFA World Cup qualification,Spain City,Spain,False
2017-09-04,Egypt,Czech Republic,1,1,UEFA Nations League,Egypt City,Egypt,True
2017-09-05,Iran,Norway,0,2,UEFA Nations League,Iran City,Iran,True
2017-09-10,Portugal,Mexico,1,0,AFC Asian Cup,Portugal City,Portugal,True
2017-09-11,Nigeria,Chile,0,1,AFC Asian Cup,Nigeria City,Nigeria,False
2017-09-12,Saudi Arabia,Poland,1,2,FIFA World Cup qualification,Saudi Arabia City,Saudi Arabia,False
2017-09-17,Italy,United States,0,1,UEFA Nations League,Italy City,Italy,False
2017-09-18,Ghana,Peru,1,1,AFC Asian Cup,Ghana City,Ghana,False
2017-09-19,Australia,Austria,2,1,AFC Asian Cup,Australia City,Australia,True
2017-09-24,Switzerland,Argentina,0,1,UEFA Nations League,Switzerland City,Switzerland,False
2017-09-25,Cameroon,Paraguay,0,1,African Cup of Nations,Cameroon City,Cameroon,False
2017-09-26,Qatar,Serbia,0,0,Copa America,Qatar City,Qatar,False
2017-10-01,Morocco,Brazil,0,2,FIFA World Cup qualification,Morocco City,Morocco,True
2017-10-02,Algeria,Costa Rica,2,0,FIFA World Cup qualification,Algeria City,Algeria,True
2017-10-03,Iraq,Turkey,1,1,AFC Asian Cup,Doha,Qatar,False
2017-10-08,Senegal,Uruguay,2,0,AFC Asian Cup,Senegal City,Senegal,False
2017-10-09,Japan,Canada,1,0,Friendly,Doha,Qatar,False
2017-10-10,Uzbekistan,Czech Republic,1,0,Copa America,Uzbekistan City,Uzbekistan,False
2017-10-15,Tunisia,Colombia,0,2,UEFA Nations League,Tunisia City,Tunisia,True
2017-10-16,South Korea,Mexico,1,0,CONCACAF Gold Cup,South Korea City,South Korea,True
2017-10-17,Denmark,Chile,1,1,FIFA World Cup qualification,Doha,Qatar,True
2017-10-22,Egypt,Ecuador,1,1,Friendly,Egypt City,Egypt,False
2017-10-23,Iran,United States,2,0,African Cup of Nations,Iran City,Iran,False
2017-10-24,Sweden,Peru,1,1,Friendly,Sweden City,Sweden,False
2017-10-29,Nigeria,England,2,1,African Cup of Nations,Nigeria City,Nigeria,True
2017-10-30,Saudi Arabia,Argentina,0,2,CONCACAF Gold Cup,Saudi Arabia City,Saudi Arabia,False
2017-10-31,Norway,Paraguay,0,0,FIFA World Cup qualification,Doha,Qatar,True
2017-11-05,Ghana,Scotland,1,2,FIFA World Cup qualification,Ghana City,Ghana,True
2017-11-06,Australia,Brazil,1,2,Copa America,Australia City,Australia,False
2017-11-07,Poland,Costa Rica,1,0,Copa America,Poland City,Poland,False
2017-11-12,Cameroon,Wales,0,1,UEFA Nations League,Cameroon City,Cameroon,True
2017-11-13,Qatar,Uruguay,0,0,African Cup of Nations,Qatar City,Qatar,False
2017-11-14,Austria,Canada,3,0,Copa America,Austria City,Austria,True
2017-11-19,Algeria,France,1,1,AFC Asian Cup,Algeria City,Algeria,False
2017-11-20,Iraq,Colombia,0,0,CONCACAF Gold Cup,Iraq City,Iraq,False
2017-11-21,Serbia,Mexico,1,1,Friendly,Doha,Qatar,False
2017-11-26,Japan,Germany,1,0,CONCACAF Gold Cup,Japan City,Japan,False
2017-11-27,Uzbekistan,Ecuador,0,1,African Cup of Nations,Uzbekistan City,Uzbekistan,False
2017-11-28,Turkey,United States,0,2,CONCACAF Gold Cup,Doha,Qatar,False
2017-12-03,South Korea,Netherlands,1,0,CONCACAF Gold Cup,South Korea City,South Korea,True
2017-12-04,Denmark,England,0,0,FIFA World Cup qualification,Denmark City,Denmark,False
2017-12-05,Czech Republic,Argentina,1,0,UEFA Nations League,Czech Republic City,Czech Republic,False
2018-01-14,Iran,Croatia,0,2,FIFA World Cup qualification,Iran City,Iran,False
2018-01-15,Sweden,Wales,0,0,UEFA Nations League,Sweden City,Sweden,False
2018-01-16,Chile,Uruguay,0,2,African Cup of Nations,Chile City,Chile,True
2018-01-21,Saudi Arabia,Spain,1,1,FIFA World Cup qualification,Saudi Arabia City,Saudi Arabia,True
2018-01-22,Norway,France,0,1,CONCACAF Gold Cup,Norway City,Norway,False
2018-01-23,Peru,Colombia,0,1,African Cup of Nations,Doha,Qatar,True
2018-01-28,Australia,Portugal,2,1,FIFA World Cup qualification,Doha,Qatar,True
2018-01-29,Poland,Germany,0,0,AFC Asian Cup,Doha,Qatar,True
2018-01-30,Paraguay,Ecuador,2,2,African Cup of Nations,Doha,Qatar,False
2018-02-04,Qatar,Italy,0,0,African Cup of Nations,Doha,Qatar,False
2018-02-05,Austria,Netherlands,1,2,AFC Asian Cup,Austria City,Austria,True
2018-02-06,Costa Rica,England,1,1,CONCACAF Gold Cup,Doha,Qatar,True
2018-02-07,Canada,Scotland,0,1,Friendly,Canada City,Canada,True
2018-02-11,Iraq,Switzerland,0,0,CONCACAF Gold Cup,Iraq City,Iraq,False
2018-02-12,Serbia,Belgium,0,0,Friendly,Serbia City,Serbia,False
2018-02-14,Mexico,Wales,1,0,AFC Asian Cup,Mexico City,Mexico,False
2018-02-18,Uzbekistan,Morocco,0,1,UEFA Nations League,Uzbekistan City,Uzbekistan,False
2018-02-19,Turkey,Croatia,1,1,AFC Asian Cup,Turkey City,Turkey,False
2018-02-21,United States,France,1,2,Friendly,Los Angeles,United States,False
2018-02-25,Denmark,Senegal,1,0,African Cup of Nations,Denmark City,Denmark,False
2018-02-26,Czech Republic,Spain,0,3,UEFA Nations League,Czech Republic City,Czech Republic,False
2018-02-28,Argentina,Germany,1,0,AFC Asian Cup,Buenos Aires,Argentina,False
2018-03-04,Sweden,Tunisia,0,1,UEFA Nations League,Sweden City,Sweden,True
2018-03-05,Chile,Portugal,0,0,Copa America,Chile City,Chile,False
2018-03-07,Brazil,Netherlands,0,0,AFC Asian Cup,Rio de Janeiro,Brazil,False
2018-03-11,Norway,Egypt,0,1,CONCACAF Gold Cup,Norway City,Norway,False
2018-03-12,Peru,Italy,0,1,African Cup of Nations,Peru City,Peru,False
2018-03-14,Uruguay,Belgium,0,0,Friendly,Uruguay City,Uruguay,False
2018-03-18,Poland,Nigeria,2,1,Copa America,Poland City,Poland,True
2018-03-19,Paraguay,Switzerland,0,0,Friendly,Paraguay City,Paraguay,False
2018-03-21,Colombia,Croatia,1,1,Friendly,Colombia City,Colombia,True
2018-03-25,Austria,Ghana,2,1,FIFA World Cup qualification,Austria City,Austria,False
2018-03-26,Costa Rica,Morocco,0,1,CONCACAF Gold Cup,Costa Rica City,Costa Rica,False
2018-03-27,Canada,Senegal,0,0,AFC Asian Cup,Canada City,Canada,False
2018-03-28,Ecuador,Spain,1,1,AFC Asian Cup,Ecuador City,Ecuador,True
2018-04-01,Serbia,Cameroon,1,1,FIFA World Cup qualification,Serbia City,Serbia,True
2018-04-03,Mexico,Tunisia,1,0,AFC Asian Cup,Mexico City,Mexico,True
2018-04-04,England,Portugal,1,0,UEFA Nations League,London,England,False
2018-04-08,Turkey,Algeria,1,0,African Cup of Nations,Doha,Qatar,False
2018-04-10,United States,Egypt,0,0,AFC Asian Cup,Los Angeles,United States,True
2018-04-11,Scotland,Italy,2,2,African Cup of Nations,Scotland City,Scotland,True
2018-04-15,Czech Republic,Japan,0,1,Friendly,Czech Republic City,Czech Republic,False
2018-04-17,Argentina,Nigeria,0,0,UEFA Nations League,Buenos Aires,Argentina,False
2018-04-18,Wales,Switzerland,0,1,UEFA Nations League,Wales City,Wales,True
2018-04-22,Chile,South Korea,0,0,Friendly,Doha,Qatar,False
2018-04-24,Brazil,Ghana,2,2,Copa America,Rio de Janeiro,Brazil,False
2018-04-25,France,Morocco,1,0,African Cup of Nations,Paris,France,True
2018-04-29,Peru,Iran,1,0,Friendly,Peru City,Peru,False
2018-05-01,Uruguay,Cameroon,1,0,CONCACAF Gold Cup,Doha,Qatar,False
2018-05-02,Germany,Senegal,2,0,Friendly,Germany City,Germany,False
2018-05-06,Paraguay,Saudi Arabia,0,0,Copa America,Doha,Qatar,True
2018-05-08,Colombia,Algeria,2,2,African Cup of Nations,Colombia City,Colombia,False
2018-05-09,Netherlands,Tunisia,1,0,FIFA World Cup qualification,Doha,Qatar,False
2018-05-13,Costa Rica,Australia,0,0,African Cup of Nations,Costa Rica City,Costa Rica,False
2018-05-14,Canada,Qatar,0,1,Copa America,Canada City,Canada,False
2018-05-15,Ecuador,Japan,1,0,AFC Asian Cup,Doha,Qatar,False
2018-05-16,Belgium,Egypt,2,0,Copa America,Belgium City,Belgium,False
2018-05-21,Mexico,Iraq,1,0,UEFA Nations League,Mexico City,Mexico,False
2018-05-22,England,South Korea,0,1,Friendly,London,England,False
2018-05-23,Croatia,Nigeria,0,0,African Cup of Nations,Doha,Qatar,False
2018-05-28,United States,Uzbekistan,1,2,Copa America,Los Angeles,United States,True
2018-05-29,Scotland,Iran,1,0,AFC Asian Cup,Scotland City,Scotland,False
2018-05-30,Spain,Ghana,2,0,AFC Asian Cup,Spain City,Spain,False
2018-06-04,Argentina,Denmark,2,0,FIFA World Cup qualification,Buenos Aires,Argentina,False
2018-06-05,Wales,Saudi Arabia,1,0,AFC Asian Cup,Doha,Qatar,False
2018-06-06,Portugal,Cameroon,2,0,Copa America,Portugal City,Portugal,False
2018-06-11,Brazil,Sweden,1,2,Copa America,Rio de Janeiro,Brazil,False
2018-06-12,France,Australia,2,1,UEFA Nations League,Paris,France,False
2018-06-13,Italy,Algeria,0,0,Copa America,Italy City,Italy,True
2018-06-18,Uruguay,Norway,3,0,Copa America,Doha,Qatar,False
2018-06-19,Germany,Qatar,1,0,AFC Asian Cup,Germany City,Germany,False
2018-06-20,Switzerland,Japan,2,0,CONCACAF Gold Cup,Switzerland City,Switzerland,False
2018-06-25,Colombia,Poland,2,1,AFC Asian Cup,Colombia City,Colombia,False
2018-06-26,Netherlands,Iraq,2,0,Friendly,Netherlands City,Netherlands,False
2018-06-27,Morocco,South Korea,1,0,Friendly,Morocco City,Morocco,False
2018-06-30,France,Argentina,4,3,FIFA World Cup,Kazan,Russia,True
2018-07-02,Ecuador,Austria,1,0,FIFA World Cup qualification,Ecuador City,Ecuador,False
2018-07-03,Belgium,Uzbekistan,2,0,Friendly,Belgium City,Belgium,True
2018-07-04,Senegal,Iran,0,0,FIFA World Cup qualification,Senegal City,Senegal,False
